window_size,lstm_0_nodes,lstm_1_nodes,perceptron_0_nodes,perceptron_1_nodes,perceptron_2_nodes,dropout_rate,learning_rate,fh1_mape_fold0,fh1_mse_fold0,fh1_rmse_fold0,fh5_mape_fold0,fh5_mse_fold0,fh5_rmse_fold0,fh10_mape_fold0,fh10_mse_fold0,fh10_rmse_fold0,fh1_mape_fold1,fh1_mse_fold1,fh1_rmse_fold1,fh5_mape_fold1,fh5_mse_fold1,fh5_rmse_fold1,fh10_mape_fold1,fh10_mse_fold1,fh10_rmse_fold1,fh1_mape_fold2,fh1_mse_fold2,fh1_rmse_fold2,fh5_mape_fold2,fh5_mse_fold2,fh5_rmse_fold2,fh10_mape_fold2,fh10_mse_fold2,fh10_rmse_fold2,fh1_mape_fold3,fh1_mse_fold3,fh1_rmse_fold3,fh5_mape_fold3,fh5_mse_fold3,fh5_rmse_fold3,fh10_mape_fold3,fh10_mse_fold3,fh10_rmse_fold3,fh1_mape_fold4,fh1_mse_fold4,fh1_rmse_fold4,fh5_mape_fold4,fh5_mse_fold4,fh5_rmse_fold4,fh10_mape_fold4,fh10_mse_fold4,fh10_rmse_fold4
40,16,0,32,16,16,0.0,0.001,9.677328109741213,1.0310258403478656e-05,0.0032109590247273,15.798578262329102,3.3313772291876376e-05,0.0057718083262443,18.37725830078125,4.743974568555132e-05,0.0068876515142619,9.618422508239746,3.8609687180724e-06,0.001964934868738,12.420252799987791,8.505506229994353e-06,0.0029164201114326,13.033320426940918,9.690289516584016e-06,0.0031129228882491,10.088233947753906,3.513244337227661e-06,0.0018743650289252,13.04388427734375,5.864923423359869e-06,0.0024217604659497,14.169415473937988,6.503820713987807e-06,0.0025502589996904,9.477045059204102,2.775305802060757e-06,0.0016659249085932,12.583884239196776,5.510670689545805e-06,0.002347481669858,13.056520462036133,5.849582976225065e-06,0.0024185909423977,11.192782402038574,9.508444236416835e-06,0.0030835764482617,15.35517406463623,3.016328446392436e-05,0.0054921112023293,16.902549743652344,4.301002991269343e-05,0.006558203138411
40,32,32,16,4,4,0.2,0.0015,9.784070014953612,1.1228592484258115e-05,0.0033509091008454,15.199569702148438,2.9075423299218528e-05,0.0053921630606055,17.511398315429688,3.774137439904735e-05,0.0061434009112417,9.805030822753906,3.8979296732577495e-06,0.001974317478016,12.324528694152832,8.451969733869191e-06,0.0029072272591292,12.759597778320312,9.57812153501436e-06,0.0030948540661484,10.230534553527832,3.595538601075532e-06,0.0018961905734613,13.196122169494627,6.000444045639597e-06,0.0024495804682374,14.100079536437988,6.618030511162942e-06,0.0025725532323122,9.513415336608888,2.8349006697681034e-06,0.0016837163129821,12.49159336090088,5.466319635161199e-06,0.0023380161728709,13.027442932128906,5.8923778851749375e-06,0.0024274219758808,11.50444221496582,1.0035086233983748e-05,0.0031678203959017,15.300626754760742,3.1519604817731306e-05,0.0056142322719097,17.077184677124023,4.413483111420646e-05,0.0066434051841497
20,32,0,4,4,4,0.4,0.0005,11.498207092285156,1.757217978592962e-05,0.0041919182986021,17.46635627746582,3.957398803322576e-05,0.0062907859683036,20.093725204467773,5.404101830208674e-05,0.0073512597009539,9.812641143798828,4.31377520726528e-06,0.0020769629627466,12.49220371246338,8.408455869357567e-06,0.0028997338376939,12.965195655822754,9.885168765322304e-06,0.0031440688762813,10.034379959106444,3.411482111914665e-06,0.00184701976832,12.90867042541504,5.7500128605170175e-06,0.0023979183752089,13.948710441589355,6.554963420057902e-06,0.0025602662935853,9.874658584594728,3.5172781736036995e-06,0.0018754408229142,13.13589096069336,6.933438271516934e-06,0.0026331422850489,13.643928527832031,7.26081134416745e-06,0.0026945893187075,11.553437232971191,1.10068704088917e-05,0.0033176604192703,15.719873428344728,3.034375185961835e-05,0.0055085164494812,17.18675994873047,4.140987948630936e-05,0.0064350510947406
20,16,16,32,16,4,0.2,0.002,9.931302070617676,1.066143795469543e-05,0.0032651857472956,15.232477188110352,2.6550407710601576e-05,0.0051527088508009,19.031787872314453,4.3849511712323874e-05,0.0066218962892889,9.952126502990724,4.120950507058296e-06,0.0020300124306231,12.41195583343506,8.414752301177941e-06,0.0029008192941546,12.774055480957031,9.660125215305015e-06,0.003108074190095,10.177330017089844,3.446135451667942e-06,0.0018563768826425,13.035420417785645,6.0068259699619375e-06,0.0024508826900273,14.059280395507812,6.442509402404539e-06,0.0025382097810506,10.14176082611084,3.635831944848178e-06,0.0019067857647314,13.090599060058594,6.623806257266551e-06,0.0025736754760146,13.669914245605469,7.1622280302108265e-06,0.0026762338820844,11.226049423217772,8.473317393509205e-06,0.0029108962044119,15.635821342468262,2.7773830879596065e-05,0.0052700880914926,17.31333351135254,3.921948882634752e-05,0.0062625464051961
20,32,4,32,4,0,0.4,0.0005,11.40506076812744,1.6539706848561764e-05,0.0040669036097824,18.345157623291016,4.28839739470277e-05,0.0065485853701829,20.58163833618164,5.55332335352432e-05,0.00745206233114,9.935542106628418,4.326089765527286e-06,0.0020799254998564,12.56116771697998,8.822551535558887e-06,0.0029702780302613,12.88757610321045,9.646146281738766e-06,0.003105824580416,10.534309387207031,3.929294507543091e-06,0.0019822448957711,13.011238098144531,5.853327820659615e-06,0.0024193651042878,13.886672019958496,6.531359304062789e-06,0.0025556525215506,10.151427268981934,3.567568001017208e-06,0.0018888006452471,13.186640739440918,6.585529263247736e-06,0.0025662286207079,13.643362045288086,7.26365306036314e-06,0.0026951164472848,11.652101516723633,1.0006199772760738e-05,0.0031632578466087,15.693127632141112,2.759258495643735e-05,0.0052528642117977,17.337265014648438,4.3124211515532807e-05,0.0065669026225805
20,32,0,32,32,0,0.0,0.001,10.031511306762695,1.1789409654738847e-05,0.0034335709642618,15.749098777770996,3.0413762942771427e-05,0.0055148676037788,18.82742118835449,4.633493517758325e-05,0.0068069766275584,9.813183784484863,4.077809535374399e-06,0.0020193585660308,12.334177017211914,8.28110751172062e-06,0.0028776912949979,12.76107406616211,9.408058758708648e-06,0.0030672559514641,10.13164520263672,3.294529278718983e-06,0.0018150837859138,13.22425365447998,6.115034466347424e-06,0.0024728595744818,14.070791244506836,6.6280508690397255e-06,0.0025745001621544,9.786296844482422,3.3077144507842604e-06,0.0018187123350799,13.120506286621094,6.820279850217048e-06,0.0026115665677934,13.723529815673828,7.18915134712006e-06,0.0026812592986971,11.294835090637209,9.65628532867413e-06,0.0031074562575668,15.689242362976074,2.9074153644614853e-05,0.0053920457139611,17.13643455505371,4.19929601775948e-05,0.0064801974222064
20,32,0,16,4,0,0.2,0.0005,10.171304702758787,1.184537268272834e-05,0.003441710723564,17.171220779418945,3.822203871095553e-05,0.006182397250086,19.92285919189453,5.31636287632864e-05,0.0072913393378257,9.62491226196289,3.826392457995098e-06,0.0019561166409403,12.33112907409668,8.489347237627953e-06,0.0029136482626199,12.803763389587402,9.607339052308816e-06,0.0030995707493275,10.096192359924316,3.401417188797496e-06,0.0018442930886521,13.131784439086914,5.982065886200871e-06,0.0024458260741084,14.1386137008667,6.5757535594457295e-06,0.0025643231347203,9.74885082244873,3.181305373800569e-06,0.0017836213810369,13.01554012298584,6.537793979077833e-06,0.0025569109711796,13.607242584228516,7.240138984343503e-06,0.0026907506398856,11.316479682922363,1.0277605724695604e-05,0.0032058705110102,15.802441596984863,3.067702709813602e-05,0.0055386843159794,17.4304141998291,4.277335028746165e-05,0.0065401336178183
20,16,0,32,16,16,0.0,0.001,9.848837852478027,1.0831788131326904e-05,0.0032911682501435,16.693662643432617,3.442247543716803e-05,0.0058670667931437,19.57218742370605,5.0834656576626e-05,0.0071298428811132,9.637798309326172,3.79894049729046e-06,0.0019490871345624,12.317150115966797,8.303092727146577e-06,0.0028815087862312,12.767009735107422,9.361591764900368e-06,0.0030596717260777,10.125102043151855,3.417172365516308e-06,0.0018485595937818,12.990755081176758,5.858306849404471e-06,0.0024203939829021,14.099830627441406,6.539407877426129e-06,0.0025572266895323,9.754249572753906,3.0903779588697944e-06,0.0017579470295459,13.092039108276367,6.491992280643899e-06,0.0025479388423264,13.691545486450195,6.982196737226332e-06,0.0026423844974488,11.299395561218262,9.681341907707974e-06,0.0031114853918552,15.926922798156738,2.9770764740533195e-05,0.005456259008497,17.458995819091797,4.062076914124191e-05,0.0063734422437846
40,32,16,4,0,0,0.0,0.0005,9.571659088134766,1.0835784451046491e-05,0.0032917752396315,16.094131469726562,3.456920967437327e-05,0.005879558622837,18.40092086791992,4.634580545825884e-05,0.0068077752366662,9.666692733764648,3.803758318099426e-06,0.0019503226503729,12.289901733398438,7.943081982375588e-06,0.0028183474205434,12.998682022094728,9.609907465346623e-06,0.0030999849550426,10.149683952331545,3.3943595099117374e-06,0.0018423787551,13.201834678649902,6.002901955071138e-06,0.0024500819854438,14.284597396850586,6.485500307462644e-06,0.0025466645602136,9.494653701782228,2.8570573249453446e-06,0.001690283184871,12.515100479125977,5.368860456655966e-06,0.0023170800413936,12.994060516357422,5.707703621737892e-06,0.0023890801239758,11.394158363342283,9.637338735046797e-06,0.0031044064089655,15.232000350952148,2.9026976335444488e-05,0.0053876689635217,16.815332412719727,4.133542461204343e-05,0.0064292633906006
60,16,0,16,16,16,0.4,0.0005,10.394248962402344,1.3126938029017763e-05,0.0036231116391718,15.58405876159668,3.184071465511806e-05,0.0056427577510476,18.057615280151367,4.444170917849988e-05,0.0066664614714682,9.752655982971191,3.980747351306491e-06,0.0019951809663325,12.3485689163208,9.046482773555908e-06,0.0030077372211962,13.135952949523926,1.0203269994235598e-05,0.0031942557543516,10.156854629516602,3.513942601784948e-06,0.0018745512934401,13.198439598083496,6.309002856141888e-06,0.0025117727927863,14.012688636779783,6.847167696832912e-06,0.0026167093310505,9.485512733459473,2.8446957003325224e-06,0.0016866226214915,12.66613483428955,5.610141215584008e-06,0.002368573565036,13.308511734008787,6.115592896094313e-06,0.002472972497344,11.18822956085205,9.769736607267989e-06,0.0031256577931344,15.362051010131836,3.218652636860497e-05,0.0056733167730271,16.693931579589844,4.422676283866167e-05,0.0066503207199275
